tool,keyword,volume,kd,intent,cpc,note
swift,mcp server swift messaging banking operations,880,16,I,0,"库里缺server,先采集"
zerodha,zerodha mcp server,720,28,I,0,"库里缺server,先采集"
shadcnui,shadcn-ui-mcp-server,590,21,IT,0,"库里缺server,先采集"
chart,mcp-server-chart,480,16,I,0,"库里缺server,先采集"
claude,claude mcp server,480,28,I,8.76,"库里缺server,先采集"
dbt,dbt mcp server,480,19,I,9.42,"库里缺server,先采集"
servicenow,servicenow mcp server,480,17,I,9.45,"库里缺server,先采集"
zen,zen-mcp-server,480,11,I,3.64,"库里缺server,先采集"
postgresql,postgresql mcp server,390,27,I,2.86,"库里缺server,先采集"
arxiv,arxiv-mcp-server,320,7,I,0,"库里缺server,先采集"
clickup,clickup mcp server,320,25,IT,5.88,"库里缺server,先采集"
firebase,firebase mcp server,320,25,I,27.55,"库里缺server,先采集"
mobbin,mobbin mcp server,320,22,I,0,"库里缺server,先采集"
shadcn,shadcn mcp server,320,23,T,8.83,"库里缺server,先采集"
n8n,n8n mcp server trigger,260,27,I,0,"库里缺server,先采集"
asana,asana mcp server,260,21,TN,6.09,"库里缺server,先采集"
box,box mcp server,260,29,IN,0.67,"库里缺server,先采集"
mysql,mysql mcp server,260,18,I,2.52,"库里缺server,先采集"
xero,xero mcp server,260,6,IT,7.16,"库里缺server,先采集"
zendesk,zendesk mcp server,260,17,I,33.87,"库里缺server,先采集"
codex,codex mcp server,210,24,I,10.54,"库里缺server,先采集"
django,django mcp server,210,23,I,10.47,"库里缺server,先采集"
llamaindex,llamaindex mcp server,210,26,IT,0,"库里缺server,先采集"
make.com,make.com mcp server,210,26,IN,0,"库里缺server,先采集"
nx,nx mcp server,210,23,IT,0,"库里缺server,先采集"
pagerduty,pagerduty mcp server,210,19,I,10.97,"库里缺server,先采集"
selenium,selenium mcp server,210,24,I,5.71,"库里缺server,先采集"
sharepoint,sharepoint mcp server,210,21,I,5.06,"库里缺server,先采集"
spotify,spotify mcp server,210,24,I,0,"库里缺server,先采集"
unity,unity mcp server,210,17,I,14.52,"库里缺server,先采集"
add,add mcp server to cursor,170,25,I,0,"库里缺server,先采集"
draw.io,draw.io mcp server,170,22,I,0,"库里缺server,先采集"
ibkr,ibkr mcp server,170,15,I,0,"库里缺server,先采集"
jenkins,jenkins mcp server,170,17,I,7.99,"库里缺server,先采集"
local,local mcp server,170,16,I,2.96,"库里缺server,先采集"
free,mcp server free,170,18,I,2.87,"库里缺server,先采集"
pythonastrepltool,mcp server pythonastrepltool,170,23,I,0,"库里缺server,先采集"
monday.com,monday.com mcp server,170,17,I,3.77,"库里缺server,先采集"
quickbooks,quickbooks mcp server,170,7,I,5.24,"库里缺server,先采集"
semgrep,semgrep mcp server,170,22,IN,3.72,"库里缺server,先采集"
serpapi,serpapi mcp server,170,22,IT,5.13,"库里缺server,先采集"
vhdl,vhdl mcp server,170,13,I,0,"库里缺server,先采集"
weather,weather mcp server,170,12,I,2.82,"库里缺server,先采集"
alpaca,alpaca mcp server,140,18,I,2.81,"库里缺server,先采集"
expo,expo mcp server,140,8,I,0,"库里缺server,先采集"
glean,glean mcp server,140,18,TN,8.77,"库里缺server,先采集"
graphiti,graphiti mcp server,140,25,I,0,"库里缺server,先采集"
java,java mcp server,140,19,I,4.77,"库里缺server,先采集"
okta,okta mcp server,140,25,TN,8.82,"库里缺server,先采集"
prometheus,prometheus mcp server,140,8,I,6.36,"库里缺server,先采集"
robinhood,robinhood mcp server,140,12,I,0,"库里缺server,先采集"
rust,rust mcp server,140,15,I,0,"库里缺server,先采集"
sonarqube,sonarqube mcp server,140,26,I,7.73,"库里缺server,先采集"
todoist,todoist mcp server,140,24,IT,0,"库里缺server,先采集"
wiz,wiz mcp server,140,20,TN,0,"库里缺server,先采集"
workday,workday mcp server,140,19,I,5.1,"库里缺server,先采集"
xcode,xcode mcp server,140,23,I,15.04,"库里缺server,先采集"
airbnb,airbnb mcp server,140,22,I,0,"库里缺server,先采集"
duckduckgo,duckduckgo mcp server,110,10,I,0,"库里缺server,先采集"
eks,eks mcp server,110,27,I,13.89,"库里缺server,先采集"
fastapi,fastapi mcp server,110,28,I,4.41,"库里缺server,先采集"
godot,godot mcp server,110,13,I,0,"库里缺server,先采集"
graphql,graphql mcp server,110,16,I,4.91,"库里缺server,先采集"
grok,grok mcp server,110,12,I,0,"库里缺server,先采集"
lucid,lucid mcp server,110,9,I,9.15,"库里缺server,先采集"
matlab,matlab mcp server,110,24,I,0,"库里缺server,先采集"
business,mcp server business use cases open data,110,11,I,0,"库里缺server,先采集"
mulesoft,mulesoft mcp server,110,29,TN,9.88,"库里缺server,先采集"
nextjs,nextjs mcp server,110,25,I,12.36,"库里缺server,先采集"
outlook,outlook mcp server,110,14,I,0,"库里缺server,先采集"
searxng,searxng mcp server,110,18,I,6.89,"库里缺server,先采集"
shortcut,shortcut mcp server,110,13,I,0,"库里缺server,先采集"
ssh,ssh mcp server,110,11,I,5.88,"库里缺server,先采集"
svelte,svelte mcp server,110,18,N,0,"库里缺server,先采集"
trello,trello mcp server,110,17,I,3.75,"库里缺server,先采集"
apidog,apidog mcp server,90,21,T,5.9,"库里缺server,先采集"
argocd,argocd mcp server,90,2,I,10.79,"库里缺server,先采集"
axiom,axiom mcp server,90,2,I,0,"库里缺server,先采集"
k8s,k8s mcp server,90,23,I,5.43,"库里缺server,先采集"
langgraph,langgraph mcp server,90,16,I,6.38,"库里缺server,先采集"
git,mcp server git,90,23,I,0,"库里缺server,先采集"
gitlab,mcp server gitlab,90,23,IT,0,"库里缺server,先采集"
time,mcp server time,90,23,I,0,"库里缺server,先采集"
mindsdb,mindsdb mcp server,90,8,I,0,"库里缺server,先采集"
openapi,openapi mcp server,90,19,I,3.52,"库里缺server,先采集"
plaid,plaid mcp server,90,22,I,14.65,"库里缺server,先采集"
rag,rag mcp server,90,21,I,5.25,"库里缺server,先采集"
react,react mcp server,90,25,I,5.03,"库里缺server,先采集"
retool,retool mcp server,90,14,TN,2.57,"库里缺server,先采集"
sillytavern,sillytavern mcp server,90,2,I,0,"库里缺server,先采集"
teradata,teradata mcp server,90,14,I,0,"库里缺server,先采集"
ahrefs,ahrefs mcp server,70,29,I,0,"库里缺server,先采集"
angular,angular mcp server,70,24,I,6.15,"库里缺server,先采集"
ansible,ansible mcp server,70,20,I,4.43,"库里缺server,先采集"
appwrite,appwrite mcp server,70,4,I,0,"库里缺server,先采集"
buildkite,buildkite mcp server,70,16,TN,0,"库里缺server,先采集"
cdata,cdata mcp server,70,16,TN,4.59,"库里缺server,先采集"
cline,cline mcp server,70,28,I,0,"库里缺server,先采集"
creating,creating mcp server,70,19,I,3.67,"库里缺server,先采集"
dataverse,dataverse mcp server,70,24,I,4.99,"库里缺server,先采集"
facebook,facebook mcp server,70,28,I,0,"库里缺server,先采集"
ghl,ghl mcp server,70,13,IT,8.84,"库里缺server,先采集"
gong,gong mcp server,70,14,TN,10.54,"库里缺server,先采集"
looker,looker mcp server,70,27,I,12.55,"库里缺server,先采集"
file,mcp server file system,70,22,I,0,"库里缺server,先采集"
rally,rally mcp server,70,6,I,0,"库里缺server,先采集"
redshift,redshift mcp server,70,24,I,0,"库里缺server,先采集"
vapi,vapi mcp server,70,21,IN,0,"库里缺server,先采集"
word,word mcp server,70,7,I,0,"库里缺server,先采集"
ynab,ynab mcp server,70,14,I,7.71,"库里缺server,先采集"
zillow,zillow mcp server,70,12,I,0,"库里缺server,先采集"
amadeus,amadeus mcp server,50,1,I,0,"库里缺server,先采集"
braze,braze mcp server,50,16,I,25.71,"库里缺server,先采集"
checkpoint,checkpoint mcp server,50,18,I,7.51,"库里缺server,先采集"
clerk,clerk mcp server,50,8,IT,8.96,"库里缺server,先采集"
cloudwatch,cloudwatch mcp server,50,25,I,0,"库里缺server,先采集"
cypress,cypress mcp server,50,15,I,0,"库里缺server,先采集"
datahub,datahub mcp server,50,16,I,6.88,"库里缺server,先采集"
deepwiki,deepwiki mcp server,50,14,I,0,"库里缺server,先采集"
evernote,evernote mcp server,50,18,I,0,"库里缺server,先采集"
evm,evm mcp server,50,6,I,0,"库里缺server,先采集"
flutter,flutter mcp server,50,17,I,0,"库里缺server,先采集"
instagram,instagram mcp server,50,2,I,0,"库里缺server,先采集"
jupyter,jupyter mcp server,50,14,IN,4.99,"库里缺server,先采集"
klaviyo,klaviyo mcp server,50,24,TN,10.62,"库里缺server,先采集"
mastra,mastra mcp server,50,17,IT,0,"库里缺server,先采集"
trigger,mcp server trigger n8n,50,28,IT,0,"库里缺server,先采集"
onedrive,onedrive mcp server,50,11,I,0,"库里缺server,先采集"
openmetadata,openmetadata mcp server,50,19,IN,0.59,"库里缺server,先采集"
replicate,replicate mcp server,50,25,IT,0,"库里缺server,先采集"
strands,strands mcp server,50,12,I,0,"库里缺server,先采集"
uvx,uvx mcp server,50,20,I,0,"库里缺server,先采集"
vault,vault mcp server,50,28,I,0,"库里缺server,先采集"
websocket,websocket mcp server,50,19,I,0,"库里缺server,先采集"
wikipedia,wikipedia mcp server,50,27,I,0,"库里缺server,先采集"
workato,workato mcp server,50,20,N,21.52,"库里缺server,先采集"
aider,aider mcp server,40,5,I,0,"库里缺server,先采集"
checkmarx,checkmarx mcp server,40,9,TN,0,"库里缺server,先采集"
crowdstrike,crowdstrike mcp server,40,23,N,17.58,"库里缺server,先采集"
deepseek,deepseek mcp server,40,4,I,0,"库里缺server,先采集"
fireflies,fireflies mcp server,40,4,IT,0,"库里缺server,先采集"
freshdesk,freshdesk mcp server,40,7,I,27.85,"库里缺server,先采集"
ga4,ga4 mcp server,40,19,I,0,"库里缺server,先采集"
harness,harness mcp server,40,29,I,10.22,"库里缺server,先采集"
langflow,langflow mcp server,40,18,TN,0,"库里缺server,先采集"
lsp,lsp mcp server,40,4,I,0,"库里缺server,先采集"
mac,mac mcp server,40,25,I,0,"库里缺server,先采集"
roo,mcp server roo code,40,6,I,0,"库里缺server,先采集"
neovim,neovim mcp server,40,12,I,0,"库里缺server,先采集"
newrelic,newrelic mcp server,40,24,TN,10.31,"库里缺server,先采集"
procore,procore mcp server,40,8,I,10.6,"库里缺server,先采集"
pubmed,pubmed mcp server,40,27,I,0,"库里缺server,先采集"
walmart,walmart mcp server,40,3,I,0,"库里缺server,先采集"
woocommerce,woocommerce mcp server,40,16,I,0,"库里缺server,先采集"
email,email mcp server,30,19,I,2.32,"库里缺server,先采集"
iterable,iterable mcp server,30,13,IT,27.21,"库里缺server,先采集"
jfrog,jfrog mcp server,30,26,TN,5.99,"库里缺server,先采集"
databricks,mcp server databricks,30,29,I,9.29,"库里缺server,先采集"
for,mcp server for google analytics,30,25,I,5.1,"库里缺server,先采集"
simple,simple mcp server,30,26,I,1.61,"库里缺server,先采集"
